19.33;32.63
18.46;27.82
21.43;26.35
22.69;31.02
22.38;32.85
26.34;31.91
20.38;31.80
17.45;27.74
22.92;27.47
18.64;32.89
23.05;30.04
26.23;29.19
21.82;30.71
19.74;26.72
22.48;28.85
17.94;27.70
17.54;26.37
22.17;30.73
18.26;33.06
18.12;28.92
24.75;34.11
23.06;29.95
25.90;28.40
19.25;29.08
26.43;27.86
19.10;34.18
26.62;29.58
24.33;26.14
25.80;34.65
18.97;31.52
26.87;34.62
22.88;30.64
26.97;32.81
24.39;25.87
23.66;30.57
17.83;32.23
25.97;31.96
22.88;33.84
25.06;28.50
17.34;25.11
18.78;32.01
17.51;28.03
21.35;31.20
23.11;32.57
25.23;33.98
25.06;30.90
26.89;26.78
19.52;29.45
17.96;28.84
24.68;25.17
118.94;-47.06
122.83;-41.07
127.32;-33.88
110.28;-31.98
129.44;-46.33
119.56;-33.64
122.68;-30.62
117.88;-44.27
117.22;-46.18
112.51;-35.85
112.24;-38.33
128.09;-34.05
114.02;-30.78
122.36;-43.48
110.99;-34.81
129.10;-30.87
126.30;-39.73
124.30;-34.09
127.78;-41.92
127.35;-49.90
116.51;-39.02
112.23;-48.68
118.10;-40.58
113.55;-38.10
116.73;-45.91
129.39;-36.07
124.42;-35.10
124.45;-43.89
113.12;-32.86
114.96;-49.62
116.42;-47.40
118.73;-38.91
125.78;-46.36
112.07;-37.70
128.14;-39.98
120.91;-33.62
121.37;-49.20
115.39;-38.56
119.18;-31.34
125.48;-34.61
115.19;-38.21
122.69;-36.99
115.59;-39.13
113.48;-34.66
111.69;-35.69
117.93;-40.18
123.70;-32.87
118.51;-48.44
114.02;-41.74
119.02;-45.20
-2.95;-2.19
-1.10;-0.28
-1.06;-0.96
1.38;-2.91
2.60;-2.86
-2.55;-1.90
-2.08;0.17
1.94;-0.22
-1.61;-1.07
1.54;-2.84
-1.32;-0.41
0.18;-2.92
1.69;0.25
-2.70;-1.05
-2.24;-0.17
-2.49;2.36
0.75;-2.58
-0.94;-0.54
-2.32;2.52
-0.42;-2.50
-0.50;1.67
-2.33;0.23
-1.89;0.80
-1.41;-1.14
2.17;2.72
-0.05;-0.27
2.77;1.15
2.46;1.49
-0.11;2.69
1.91;0.26
-0.22;-2.40
-0.72;-2.65
1.69;-0.52
-2.66;0.39
1.54;0.71
0.66;-1.96
-1.80;-1.60
0.35;0.63
-1.40;2.57
0.79;0.23
1.79;0.64
-0.96;-1.81
2.97;-1.17
0.30;-0.46
-0.76;0.13
0.88;2.80
2.16;0.85
-0.84;-0.42
-0.28;2.25
-1.59;0.03
-89.81;-84.09
-87.00;-78.01
-87.57;-88.43
-93.30;-80.04
-94.31;-81.26
-90.26;-88.75
-95.88;-77.66
-83.68;-73.32
-91.22;-85.20
-82.09;-85.91
-99.35;-83.97
-98.69;-71.31
-89.76;-85.53
-90.30;-82.17
-88.27;-77.78
-96.28;-73.48
-90.99;-75.24
-92.22;-87.91
-88.72;-76.93
-90.37;-78.07
-83.75;-70.40
-98.68;-79.35
-98.17;-78.93
-87.67;-79.52
-88.38;-81.29
-82.76;-85.97
-81.09;-70.68
-95.40;-86.28
-80.38;-70.31
-95.90;-73.80
-86.81;-81.58
-81.51;-74.13
-82.42;-78.02
-88.38;-70.12
-94.80;-89.61
-93.65;-78.87
-97.74;-80.06
-99.30;-84.76
-86.98;-77.23
-84.25;-88.60
-98.81;-75.81
-99.89;-70.05
-91.50;-88.47
-85.22;-78.54
-92.00;-85.83
-82.90;-74.37
-96.36;-89.15
-87.68;-75.53
-94.31;-76.68
-82.14;-88.80
